               table_name                |      column_name       | data_type |       fk_column        |    foreign_table_name     | foreign_column_name 
 dente_telegram_bot_configs              | clinic_id              | uuid      | clinic_id              | clinics                   | id
 dente_telegram_bot_configs              | organization_id        | uuid      | organization_id        | organizations             | id
 dente_telegram_chat_links               | clinic_id              | uuid      | clinic_id              | clinics                   | id
 dente_telegram_chat_links               | organization_id        | uuid      | organization_id        | organizations             | id
 dente_telegram_link_codes               | clinic_id              | uuid      | clinic_id              | clinics                   | id
 dente_telegram_link_codes               | created_by_user_id     | uuid      | created_by_user_id     | users                     | id
 dente_telegram_link_codes               | organization_id        | uuid      | organization_id        | organizations             | id
 dente_telegram_outbox_delivery_receipts | clinic_id              | uuid      | clinic_id              | clinics                   | id
 dente_telegram_outbox_delivery_receipts | event_id               | uuid      | event_id               | communication_events      | id
 dente_telegram_outbox_delivery_receipts | organization_id        | uuid      | organization_id        | organizations             | id
 dente_telegram_outbox_delivery_receipts | task_id                | uuid      | task_id                | communication_tasks       | id
 dente_telegram_webhook_events           | clinic_id              | uuid      | clinic_id              | clinics                   | id
 dente_telegram_webhook_events           | organization_id        | uuid      | organization_id        | organizations             | id
 dente_whatsapp_bot_configs              | organization_id        | uuid      | organization_id        | organizations             | id
 diagnocat_ai_findings                   | organization_id        | uuid      | organization_id        | organizations             | id
 diagnocat_reports                       | organization_id        | uuid      | organization_id        | organizations             | id
 dicom_workbench_bundles                 | organization_id        | uuid      | organization_id        | organizations             | id
 dicom_workbench_bundles                 | patient_id             | uuid      | patient_id             | patients                  | id
 digital_receipt_dispatches              | organization_id        | uuid      | organization_id        | organizations             | id
 doctor_commissions                      | organization_id        | uuid      | organization_id        | organizations             | id
 egisz_blank_permissions                 | organization_id        | uuid      | organization_id        | organizations             | id
 egisz_logs                              | organization_id        | uuid      | organization_id        | organizations             | id
 egisz_logs                              | patient_id             | uuid      | patient_id             | patients                  | id
 egisz_logs                              | visit_id               | uuid      | visit_id               | visits                    | id
 egisz_multiple_diagnoses                | organization_id        | uuid      | organization_id        | organizations             | id
 extended_odontogram_states              | organization_id        | uuid      | organization_id        | organizations             | id
 external_schedule_action_logs           | organization_id        | uuid      | organization_id        | organizations             | id
 family_groups                           | organization_id        | uuid      | organization_id        | organizations             | id
 family_recommendation_sources           | organization_id        | uuid      | organization_id        | organizations             | id
 generated_documents                     | issued_by_user_id      | uuid      | issued_by_user_id      | users                     | id
 generated_documents                     | organization_id        | uuid      | organization_id        | visits                    | id
 generated_documents                     | organization_id        | uuid      | organization_id        | visits                    | organization_id
 generated_documents                     | organization_id        | uuid      | organization_id        | visits                    | patient_id
 generated_documents                     | organization_id        | uuid      | organization_id        | organizations             | id
 generated_documents                     | patient_id             | uuid      | patient_id             | visits                    | id
 generated_documents                     | patient_id             | uuid      | patient_id             | visits                    | organization_id
 generated_documents                     | patient_id             | uuid      | patient_id             | visits                    | patient_id
 generated_documents                     | patient_id             | uuid      | patient_id             | patients                  | id
 generated_documents                     | visit_id               | uuid      | visit_id               | visits                    | id
 generated_documents                     | visit_id               | uuid      | visit_id               | visits                    | organization_id
 generated_documents                     | visit_id               | uuid      | visit_id               | visits                    | patient_id
 generated_documents                     | visit_id               | uuid      | visit_id               | visits                    | id
 generated_documents                     | voided_by_user_id      | uuid      | voided_by_user_id      | users                     | id
 imaging_annotations                     | organization_id        | uuid      | organization_id        | organizations             | id
 imaging_annotations                     | patient_id             | uuid      | patient_id             | patients                  | id
 imaging_annotations                     | series_id              | uuid      | series_id              | imaging_series            | id
 imaging_annotations                     | study_id               | uuid      | study_id               | imaging_studies           | id
 imaging_instances                       | organization_id        | uuid      | organization_id        | organizations             | id
 imaging_instances                       | series_id              | uuid      | series_id              | imaging_series            | id
 imaging_series                          | organization_id        | uuid      | organization_id        | organizations             | id
 imaging_series                          | study_id               | uuid      | study_id               | imaging_studies           | id
 imaging_studies                         | organization_id        | uuid      | organization_id        | organizations             | id
